	show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
BD55-1472	BD55-1472	2.33947	0.720245	--	--	--	1.041254	--	--	--	--	--	--	--	--	3	2	3.439	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-1486	BD55-1486	0.658734	Inf*	--	--	--	0.777414	--	--	--	--	--	--	--	--	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-1499	BD55-1499	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.096	2.668	3.34	2.334	2.401	1.08	3.246	2.31	1.388	1.675	0.519	1.456	1.781	2.796	1.514	3.069	2.927	2.775	1.073	2.056	1.657	1.616	3.218	3.302	0.025439128
BD55-1502	BD55-1502	0.00996296	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-1503	BD55-1503	0.00857104	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-1508	BD55-1508	1.4257	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	0	0	0.085	0.293	3.127	0.302	0.081	0.067	0.065	0.054	0.056	0.059	0.065	0.042	0.053	0.089	0.057	0.068	0.066	0.078	0.051	0.1	0.054	0.05	3.03	3.503	0.13502712
BD55-1558	BD55-1558	7.20752	Inf*	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	0	--	0.074	0.07	0.623	0.077	0.067	0.055	0.06	0.055	0.101	0.06	0.052	0.045	0.062	0.052	0.045	0.053	0.054	0.099	0.047	0.045	0.05	0.049	3.253	3.516	0.07480091
BD55-1570	BD55-1570	3.91932	6.52925	--	--	--	Inf	--	--	--	Inf*	--	--	--	--	3	2	3.365	3.345	0.141	3.131	3.374	3.241	3.345	3.24	3.303	3.337	3.249	2.568	2.747	3.317	3.339	3.381	3.327	2.673	2.369	2.602	2.421	2.801	--	--	--
BD55-1575	BD55-1575	0.01255	Inf*	--	--	--	1.78127	--	--	--	--	--	--	--	--	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-1576	BD55-1576	0.001	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-1579	BD55-1579	0.0455	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.14132	Inf*	--	--	--	--	0	0.45	0.146	3.489	0.101	0.247	0.171	0.167	0.193	0.187	0.233	0.14	0.094	0.107	0.058	0.082	0.196	0.122	0.073	0.055	0.105	0.13	0.056	2.096	3.427	0.388386344
BD55-1604	BD55-1604	Inf	Inf	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.505	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-1638	BD55-1638	0.00188	Inf*	2.26518	2.20084	2.36002	2.10272	3.0129	2.881	4.912	0.0074738	Inf*	--	--	--	0	--	0.452	0.248	3.441	0.198	0.061	0.059	2.435	1.738	2.046	0.071	0.052	0.039	0.065	0.084	0.087	0.162	0.051	0.07	0.054	0.184	0.123	0.051	0.177	3.475	0.949064748
BD55-1694	BD55-1694	0.0017	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.378785	--	--	--	--	1	0	0.39	0.358	3.401	0.26	0.401	0.302	0.256	0.184	0.251	0.336	0.23	0.14	0.056	0.188	0.158	0.124	0.053	0.067	0.048	0.069	0.064	0.052	0.621	3.493	0.82221586
BD55-1706	BD55-1706	0.0034	Inf*	0.824	0.717199	0.0279117	0.143347	0.1029	0.66125	0.809938	0.00239174	Inf*	--	--	--	0	0	0.599	0.149	3.464	0.13	0.134	0.104	0.089	0.108	0.115	0.149	0.086	0.059	0.06	0.074	0.071	0.08	0.058	0.097	0.052	0.043	0.115	0.052	0.534	2.811	0.810032017
BD55-1763	BD55-1763	0.0299	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.765436	Inf*	--	--	--	1	0	0.803	0.315	1.992	0.298	0.6	0.467	0.381	0.419	0.376	0.543	0.342	0.181	0.059	0.116	0.2	0.108	0.081	0.082	0.054	0.144	0.117	0.055	1.554	3.524	0.559023837
BD55-1779	BD55-1779	0.00215	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-1789	BD55-1789	0.2491	Inf	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	2	0	2.21	0.05	0.22	0.1	0.06	0.05	0.08	0.063	0.064	0.731	0.825	0.05	0.095	0.05	0.06	0.06	0.06	0.446	0.05	0.046	0.044	0.12	3.257	3.35	0.027761194
BD55-1809	BD55-1809	4.91731	Inf*	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	0	--	0.179	0.191	0.883	0.081	0.058	0.061	0.052	0.107	0.072	0.104	0.06	0.043	0.058	0.073	0.072	0.201	0.067	0.096	0.069	0.298	0.127	0.056	3.293	3.367	0.021978022
BD55-1811	BD55-1811	Inf	1.08618	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	0.699	1.844	2.833	1.676	2.633	0.733	3.179	0.814	1.415	0.822	0.838	2.581	2.309	2.088	2.622	2.838	2.377	1.581	2.785	3.654	3.168	1.371	--	--	--
BD55-1831	BD55-1831	1.4218	1.6623	4.6389	3.6037	3.123	3.83736	3.9812	5.0192	Inf	0.364831	Inf	--	--	--	2	2	3.02	2.34	3.23	3.11	2.09	0.07	0.17	0.796	0.687	0.945	1.71	0.743	0.303	0.05	0.06	0.06	0.06	0.607	0.391	0.056	0.126	0.062	3.378	3.447	0.020017406
BD55-1868	BD55-1868	0.339769	Inf	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf	--	--	--	2	2	2.39	0.82	2.63	0.89	1.06	0.05	1.37	1.621	1.957	1.99	2.265	0.601	0.353	0.08	0.07	0.65	0.48	0.529	0.518	0.255	0.176	0.128	1.995	3.48	0.426724138
BD55-1957	BD55-1957	0.630395	Inf*	2.50242	3.65099	1.69896	4.02416	2.0192	2.89	3.64291	Inf	2.17773	--	--	--	1	--	0.455	2.937	3.339	3.43	0.11	0.143	0.075	0.16	0.246	0.334	0.083	0.078	0.075	0.13	0.054	0.147	0.096	0.129	0.133	0.35	0.22	0.074	3.459	3.489	0.008598452
BD55-1962	BD55-1962	0.0269	Inf*	1.2	2.62807	1.35228	2.682537	Inf	1.198282	2.243893	0.726691	Inf*	--	--	--	0	0	1.251	0.482	3.045	0.441	1.063	0.908	0.629	0.78	0.811	0.858	0.936	0.051	0.064	0.203	0.388	0.222	0.096	0.097	0.061	0.25	0.108	0.057	1.285	3.385	0.620384047
BD55-1970	BD55-1970	0.00731516	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-2101	BD55-2101	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.421	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-2314	BD55-2314	Inf	2.99027	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.179	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.432	3.5	0.019428571
BD55-2413	BD55-2413	Inf	0.539797	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	0	3.414	2.869	2.936	2.813	3.427	3.395	3.413	3.412	3.404	3.454	3.408	3.343	0.063	0.22	2.126	0.118	0.1	0.067	0.059	0.075	0.073	0.062	3.409	3.511	0.029051552
BD55-2532	BD55-2532	0.0104388	0.116616	0.171063	0.795424	0.316687	0.362382	0.5929	0.3302	0.4922731	0.708206	Inf*	--	--	--	2	2	2.61	0.24	2.19	0.77	3.12	2.03	1.14	1.905	0.298	3.441	3.404	0.062	0.096	0.25	0.9	0.19	0.14	0.443	0.047	0.044	0.134	0.137	3.08	3.471	0.112647652
BD55-2696	BD55-2696	0.715284	0.0218947	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.108883	0.00661277	--	--	--	3	2	2.42	1.62	3.47	3.19	3.29	3.07	3.38	3.419	3.316	3.46	3.382	3.062	0.412	0.35	3.33	1.35	0.3	0.524	2.903	0.471	0.759	2.427	0.72	3.36	0.785714286
BD55-3149	BD55-3149	0.595	1.0629	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.390977	3.38533	--	--	--	3	0	2.92	2.41	3.35	2.81	3.14	2.79	3.34	3.227	2.991	3.405	3.256	2.747	0.313	0.1	2.26	1.09	0.1	0.376	0.189	0.06	0.062	0.069	3.214	3.297	0.025174401
BD55-3150	BD55-3150	12.8697	0.31381	--	--	--	9.99412	--	--	--	--	--	--	--	--	3	2	3.384	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-3152	BD55-3152	0.0105	0.0225	0.252825	0.187777	0.17926	0.170493	0.1593252	0.29192	0.391446	0.311817	0.107174	--	--	--	2	2	2.44	0.15	1.3	2.13	3.26	2.83	2.28	2.159	2.353	3.435	3.36	0.218	0.156	0.73	0.35	0.21	0.57	0.405	0.391	0.074	0.172	0.178	3.404	3.487	0.023802696
BD55-3161	BD55-3161	16.3901	0.19539	--	--	--	Inf	--	--	--	--	--	--	--	--	3	2	3.473	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-3293	BD55-3293	7.20167	Inf	Inf	Inf	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	--	3	2	3.429	3.473	3.489	3.442	3.546	3.416	3.41	3.474	3.453	3.499	3.435	3.233	3.252	3.502	3.313	3.502	3.456	3.485	3.351	3.175	3.329	3.163	3.488	3.509	0.005984611
BD55-3300	BD55-3300	21.673	0.6387	--	--	--	3.71167	--	--	--	--	--	--	--	--	3	2	1.666	1.828	2.412	1.884	2.906	1.774	2.775	2.583	3.042	2.224	1.714	2.285	2.352	2.992	3.388	2.697	2.697	1.956	2.836	3.622	3.265	2.057	--	--	--
BD55-3304	BD55-3304	0.4793	0.2159	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.09014	0.00456487	--	--	--	3	2	2.56	2.5	3.48	2.92	3.25	3.32	3.21	3.394	3.192	3.439	3.387	3.115	2.194	0.15	3.04	1.35	1.89	1.147	2.632	2.739	3.126	1.39	3.263	3.478	0.061817136
BD55-3324	BD55-3324	Inf	0.18908	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.356	0.856	3.2	1.986	3.419	2.454	3.153	2.394	3.608	3.04	2.821	3.287	1.129	2.809	3.346	0.948	1.7	0.221	1.765	3.323	2.689	0.174	3.161	3.533	0.105292952
BD55-3327	BD55-3327	7.31388	0.79499	--	--	--	6.20036	--	--	--	--	--	--	--	--	3	2	3.497	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-3337	BD55-3337	0.2878	0.05431	2.29703	1.94065	1.74417	1.557508	0.714774	1.8723	1.28525	0.284282	Inf	--	--	--	2	2	2.56	1.03	2.96	1.9	3.37	2.81	3.18	3.467	3.087	3.485	3.378	2.657	3.217	1.27	1.77	3.25	3.2	2.29	3.16	3.377	3.424	3.335	3.367	3.467	0.02884338
BD55-3366	BD55-3366	Inf	1.86132	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.501	0.895	2.353	2.479	3.441	3.414	3.391	1.784	3.426	3.43	3.487	0.89	0.94	1.61	2.525	3.09	2.942	0.828	0.712	1.09	1.016	0.758	3.431	3.454	0.006658946
BD55-3367	BD55-3367	Inf	Inf	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.364	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-3370	BD55-3370	8.55231	5.92871	--	--	--	4.40446	--	--	--	--	--	--	--	--	3	2	3.454	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-3372	BD55-3372	0.0068	0.0138	0.0203167	0.0140481	0.105135	0.01330316	0.01637208	0.009128	0.01483837	0.00316693	Inf	--	--	--	3	0	2.34	0.08	2.68	0.76	3.23	2.53	3.33	3.423	3.083	3.471	3.389	2.519	0.21	1.58	2.54	0.17	0.22	0.529	0.11	0.123	0.234	0.11	0.385	3.329	0.884349655
BD55-3414	BD55-3414	6.45775	0.01062	Inf*	Inf	Inf*	Inf	Inf*	Inf	Inf*	--	Inf*	--	--	--	3	0	3.49	0.064	3.398	0.106	3.453	3.398	3.412	3.466	3.436	3.414	3.47	1.864	0.054	0.086	2.914	0.078	0.057	0.073	0.049	0.081	0.065	0.049	2.483	3.294	0.246205222
BD55-3417	BD55-3417	18.6112	1.90391	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0680263	Inf	--	--	--	3	2	3.469	3.441	3.468	3.409	3.45	3.384	3.486	3.406	3.453	3.436	3.48	3.282	2.906	2.411	0.476	3.322	3.383	2.657	2.782	2.567	2.5	2.897	3.36	3.337	-0.006892418
BD55-3433	BD55-3433	0.002	3.9423	4.09445	12.3932	3.22344	3.248821	2.107912	1.9872	4.267333	Inf*	Inf*	--	--	--	2	0	2.67	0.11	1.08	0.39	2.05	0.97	0.96	0.779	0.664	2.363	3.026	0.267	0.175	0.14	0.48	0.09	0.14	0.458	0.203	0.096	0.098	0.118	3.185	3.468	0.08160323
BD55-3440	BD55-3440	0.1543	0.0461	Inf	4.27941	5.04439	5.36286	8.921	6.98129	6.89812	Inf*	Inf*	--	--	--	3	0	2.4	0.11	0.58	0.29	3.3	2.93	0.76	1.275	1.025	3.44	3.352	0.086	0.353	0.1	0.23	0.12	0.12	0.587	0.406	0.097	0.101	0.08	3.438	3.509	0.020233685
BD55-3451	BD55-3451	0.0098	0.0239	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	28.3275	Inf	--	--	--	2	0	2.73	1.25	2.87	1.76	2.99	1.92	1.78	2.893	2.898	3.367	3.409	1.777	0.356	0.11	0.18	0.08	0.12	0.535	0.342	0.114	0.092	0.105	3.358	3.481	0.035334674
BD55-3457	BD55-3457	1.7992	1.7533	3.19122	2.58101	Inf	3.57524	7.61577	4.282	5.5358	Inf*	Inf*	--	--	--	2	0	2.89	0.07	0.48	0.64	1.3	0.69	0.44	0.436	0.315	1.407	2.509	0.119	0.155	0.12	0.18	0.09	0.13	0.449	0.138	0.091	0.076	0.104	3.423	3.513	0.025619129
BD55-3484	BD55-3484	8.28033	2.05162	2.30829	Inf	2.69685	2.89464	2.58314	2.92934	2.792338	18.7388	Inf	--	--	--	3	2	3.459	3.456	3.461	3.452	3.453	3.346	3.438	3.43	3.358	3.414	3.449	3.305	1.106	3.469	3.295	3.168	2.939	0.797	0.804	1.419	1.524	1.355	3.251	3.43	0.052186589
BD55-3500	BD55-3500	0.1053	0.0522	0.5782	1.12188	3.871	4.88981	3.46322	3.9129	2.87528	0.00870692	0.00310233	--	--	--	3	2	2.41	3.09	3.3	3.35	3.28	3.21	3.48	3.468	3.353	3.442	3.487	3.214	3.339	2.4	3.32	3.33	3.13	2.767	3.064	3.347	3.43	2.283	0.317	3.373	0.906018381
BD55-3525	BD55-3525	1.5579	0.223	5.43996	5.5887	6.96521	3.89502	7.233	3.91	Inf	2.29479	Inf	--	--	--	3	2	2.94	2.63	3.11	2.82	3.27	2.37	3.32	3.397	3.136	3.349	3.481	3.048	3.217	2.84	3.32	3.43	3.38	2.175	3.369	3.359	3.425	3.383	3.015	3.191	0.055155124
BD55-3546	BD55-3546	0.00113	0.0046	0.00579642	0.00352476	0.0358801	0.0394946	0.0537088	0.0625	0.0342489	1.86002	Inf	--	--	--	2	0	3.35	0.12	2.29	0.29	3.24	1.15	1.03	2.251	2.171	3.311	3.396	0.133	0.141	0.25	0.13	0.08	0.09	0.528	0.123	0.106	0.098	0.126	3.15	3.351	0.059982095
BD55-3549	BD55-3549	Inf	26.0715	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.373	3.377	3.267	2.876	3.564	3.494	3.516	0.089	3.334	2.469	3.47	3.175	2.371	3.515	3.485	2.901	2.907	3.211	1.32	1.754	1.821	1.623	3.458	3.456	-0.000578704
BD55-3561	BD55-3561	Inf	1.3559	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.409	3.155	3.463	2.865	3.534	3.448	3.536	2.969	3.151	2.846	3.449	2.888	2.769	3.361	3.516	3.179	3.126	3.103	2.437	2.848	2.292	2.265	3.471	3.53	0.016713881
BD55-3597	BD55-3597	1.05601	0.05466	2.452355	3.36612	1.96093	5.57624	3.86472	2.912	3.14884	3.56494	Inf	--	--	--	2	2	3.45	2.45	2.68	2.55	3.47	2.31	3.03	3.308	3.064	3.374	3.403	2.906	2.85	0.14	0.2	2.47	2.21	1.195	2.969	3.292	3.264	2.511	3.434	3.494	0.017172295
BD55-3602	BD55-3602	5.23226	4.1557	--	--	--	Inf	--	--	--	--	--	--	--	--	3	2	2.72	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-3611	BD55-3611	3.03895	0.33814	--	--	--	3.31435	--	--	--	--	--	--	--	--	3	2	3.47	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-3637	BD55-3637	0.9197	1.0948	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	3.26503	Inf	--	--	--	3	0	3.45	3.33	3.07	2.72	3.35	2.42	3.03	3.283	3.179	3.358	3.414	2.87	0.435	0.15	0.16	0.07	0.37	0.555	0.444	0.4	0.496	0.381	3.427	3.504	0.021974886
BD55-3670	BD55-3670	Inf	0.1025	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.603	3.379	3.531	2.913	3.546	3.539	3.506	3.498	3.431	2.649	3.504	3.344	3.371	0.075	3.112	3.469	3.493	3.306	3.258	3.357	3.411	2.935	1.019	3.382	0.698698995
BD55-3684	BD55-3684	Inf	6.33068	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.53	3.446	3.523	3.052	3.564	3.59	3.504	1.7	3.389	3.089	3.428	3.263	3.003	3.393	3.499	3.413	3.407	3.16	2.574	2.871	3.034	2.645	3.372	3.415	0.012591508
BD55-3698	BD55-3698	1.65615	1.55363	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	12.4927	Inf*	--	--	--	3	2	3.49	0.46	1.12	0.74	3.46	2.85	3.22	3.243	3.008	3.427	3.442	1.832	0.812	0.38	2.5	0.25	1.63	0.6	2.194	2.626	1.646	1.285	3.091	3.31	0.066163142
BD55-3716	BD55-3716	1.1549	0.0155	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.61143	0.00506381	--	--	--	2	0	3.47	1.94	2.84	0.77	3.36	2.06	3	3.191	3.125	3.425	3.441	2.449	0.539	0.26	0.39	0.33	0.11	0.578	0.685	0.363	0.271	0.254	1.301	3.304	0.606234867
BD55-3721	BD55-3721	0.031354	0.0100194	6.3772	6.92671	Inf	Inf*	Inf*	Inf	Inf*	0.0181614	0.00247041	--	--	--	3	2	3.31	3.15	3.21	2.96	3.21	3.1	3.39	3.465	3.413	3.518	3.48	3.295	3.439	1.9	3.03	3.22	3.18	3.148	3.416	3.377	3.449	3.242	0.361	3.444	0.895180023
BD55-3741	BD55-3741	Inf	1.98833	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.584	3.496	3.522	3.104	3.578	3.606	3.525	3.509	3.354	2.857	3.508	3.323	3.404	0.065	3.543	3.478	3.499	3.402	3.312	3.217	3.429	3.087	3.445	3.49	0.012893983
BD55-3773	BD55-3773	0.51637	0.08166	2.89073	3.89413	--	7.04699	--	--	--	1.26043	Inf	--	--	--	2	2	3.48	2.42	3.21	2.79	3.45	2.29	3.1	--	--	--	--	--	--	1.8	3.04	3.14	3.15	--	--	--	--	--	--	--	--
BD55-3807	BD55-3807	Inf	0.46323	Inf*	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	3	0	3.401	0.895	2.395	2.342	3.391	3.217	3.408	3.178	3.157	3.291	3.26	0.045	2.525	0.05	2.026	3.042	3.309	2.054	2.297	2.29	1.961	2.73	3.469	3.511	0.011962404
BD55-3832	BD55-3832	5.7316	Inf	--	--	--	Inf	--	--	--	--	--	--	--	--	3	2	3.244	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-4281	BD55-4281	0.016	0.0118	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.724472	Inf	--	--	--	2	0	3.43	3.16	3.08	2.68	3.28	2.71	3.21	3.345	3.165	3.439	3.365	2.552	0.535	0.16	2.94	0.27	0.15	0.695	0.518	0.563	0.522	0.434	3.386	3.523	0.038887312
BD55-4285	BD55-4285	0.2561	2.0741	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	2	0	2.67	0.05	0.06	0.05	0.96	0.4	0.06	0.072	0.062	1.096	2.754	0.064	0.103	0.06	0.06	0.08	0.05	0.508	0.062	0.047	0.048	0.078	3.366	3.442	0.022080186
BD55-4286	BD55-4286	Inf	2.55369	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.444	3.506	3.419	3.513	3.546	3.417	3.505	3.458	3.49	3.453	3.48	3.251	2.897	3.533	3.374	3.519	3.44	2.808	2.268	2.738	2.686	2.184	3.303	3.457	0.044547295
BD55-4325	BD55-4325	0.1977	0.0571	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.026034	0.00445288	--	--	--	3	2	3.46	3.34	3.29	2.96	3.4	3.02	3.18	3.409	3.268	3.503	3.446	3.106	3.218	2.54	3.24	3.35	3.08	2.641	3.072	3.347	3.41	2.873	0.412	3.14	0.868789809
BD55-4328	BD55-4328	0.93793	0.12	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	5.41291	0.0067715	--	--	--	2	2	3.47	3.21	3.38	2.99	3.42	3.13	3.33	3.463	3.338	3.483	3.444	3.133	3.323	3.24	3.13	3.36	2.98	2.639	3.359	3.398	3.438	3.367	3.347	3.406	0.017322372
BD55-4329	BD55-4329	Inf	0.88597	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.552	3.349	3.447	3.453	3.543	3.545	3.462	3.466	3.521	3.513	3.526	0.064	0.107	3.486	3.317	1.125	0.448	0.204	0.074	0.652	0.349	0.068	3.353	3.446	0.026987812
BD55-4342	BD55-4342	1.33293	0.212546	5.44505	6.89216	--	5.00608	--	--	--	8.88795	0.0198885	--	--	--	3	2	3.47	3.14	3.14	3.07	3.41	3.28	3.09	--	--	--	--	--	--	3.33	2.95	3.06	2.85	--	--	--	--	--	--	--	--
BD55-4343	BD55-4343	2.51426	0.19351	--	--	--	Inf	--	--	--	--	--	--	--	--	3	2	3.443	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-4344	BD55-4344	5.80234	0.0417	Inf*	Inf	Inf*	Inf	Inf	Inf	Inf*	--	--	--	--	--	3	0	3.531	2.986	3.447	2.482	3.53	3.456	3.468	3.461	3.501	3.532	3.507	2.935	0.063	1.711	0.251	0.926	0.083	0.127	0.049	0.235	0.124	0.054	1.473	3.525	0.58212766
BD55-4345	BD55-4345	0.24506	0.03418	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.063567	0.00419088	--	--	--	3	0	3.55	3.21	2.71	1.6	3.57	2.91	2.65	3.41	3.24	3.457	3.417	2.981	0.153	3.33	2.93	0.05	0.09	0.495	0.089	0.049	0.107	0.055	1.013	3.426	0.704319907
BD55-4348	BD55-4348	0.30165	0.06558	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0522669	0.00259131	--	--	--	3	0	3.46	3.31	3.33	3.26	3.42	2.97	3.31	3.302	3.1	3.485	3.422	3.111	2.655	3.02	2.97	2.7	0.7	1.033	1.066	0.474	3.383	0.232	0.36	3.458	0.89589358
BD55-4351	BD55-4351	1.60932	1.32724	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	5.70416	0.00785278	--	--	--	2	2	3.44	3.2	3.33	3.11	3.51	2.69	3.18	3.184	3.341	3.498	3.399	3.139	3.283	0.15	3.02	3.32	2.96	2.75	3.273	3.362	3.325	3.276	3.253	3.477	0.064423353
BD55-4356	BD55-4356	Inf	0.26184	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	0	2.375	0.1	0.256	0.125	2.19	0.934	3.124	2.185	2.612	1.87	1.241	2.349	0.359	0.067	1.159	2.14	1.695	0.407	0.929	2.66	2.149	0.067	--	--	--
BD55-4357	BD55-4357	5.61232	1.28625	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	--	--	--	--	--	3	0	3.452	3.314	3.443	3.433	3.526	3.359	3.515	3.428	3.478	3.536	3.476	3.192	2.603	3.252	2.534	3.494	3.377	2.935	1.572	2.624	2.567	1.628	2.928	3.5	0.163428571
BD55-4358	BD55-4358	0.13696	0.13216	0.648858	0.955936	Inf	Inf*	Inf*	Inf	Inf*	0.0769514	0.0049261	--	--	--	2	2	3.49	2.957	3.206	3.153	3.371	3.059	3.329	3.238	3.215	3.279	3.146	3.252	3.033	0.047	0.064	3.347	3.315	3.071	3.143	3.442	2.976	3.166	0.241	3.468	0.930507497
BD55-4359	BD55-4359	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.386	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.185	3.484	0.085820896
